,Answer,Labels
203,"Generally, 2 and 3 sharing rooms are alloted as per the availability.",12
204,"Generally, 2 and 3 sharing rooms are alloted as per the availability.",12
205,If you are not a member of any club you can still participate in events and competitions organized by the club.,4
206,"Sitare provides Academic, hostel and food facilities under scholarship expecting from a student to be in hostel for easy access to classrooms and attendance management.",1
207,Sitare university motivates sports club to host sports events and activities by providing sports equipments/kits.,7
208,"Education at Sitare University is completely focussed on Computer Science, since our mission is to train students from underprivileged backgrounds to get high paying jobs. Computer Science has now become an integral part of every other domain, be it engineering or management.",7
209,Most of our classes are offline. But a few classes may be online in case the faculty is located outside India or if the faculty is unable to travel to Lucknow.,3
210,"Our faculty members have PhD from top institutes in India and abroad, and so students interested in research will surely get the required training.",5
211,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student.",6
212,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student.",6
213,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student.",6
214,Our mess provides hygeinic food of very good quality.,11
215,Our mess provides hygeinic food of very good quality.,11
216,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
217,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
218,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
219,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
220,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow.",2
221,"As of 2024, Our placements are yet to happen since our first batch is in its third year. But our students have been offered internships in their first year itself by startups like Glean, Inmobi, Mathesis Advisers, Trademo, Chalo, Beans.ai, Skyroot, Yulu, Zeni, Tracxn, Moglix, Proshort, ChaiPoint, FirstHive and many more.",0
222,Our students get internships from the first year itself through our vast network of startups.,0
223,Our students get internships from the first year itself through our vast network of startups.,0
224,Our students get internships from the first year itself through our vast network of startups.,0
225,Our students get internships from the first year itself through our vast network of startups.,0
226,Our students get internships from the first year itself through our vast network of startups.,0
227,Our students get internships from the first year itself through our vast network of startups.,0
228,Our students get internships from the first year itself through our vast network of startups.,0
229,"Sitare University has an industry focussed curriculum, provides individual attention to all students, and takes full responsibility for student placements.",7
230,"The best way to deal with any job scarcity situation is to provide a broad exposure to students so that they can aspire to compete in multiple domains. Sitare University focusses on all application oriented areas of Computer Science like Data Structures, Algorithms, Data Science, Machine Learning, Deep Learning, Artificial Intelligence, Database Management Systems, Computer Networks, etc",7
231,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself.",7
232,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself.",7
233,"The curriculum at Sitare University focuses on industry oriented CS education. Our students learn Python, Math, Data Structures and English Communication in first year; Algorithms, Java, Systems, Databases/IR, and Machine Learning in second year; Frontend, Systems, and more Machine Learning in third year alongside Hands-on Projects and Problem Solving. The fourth year is to be spent in the industry. Our students get paid internships right from the first summer itself.",7
234,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc.",4
235,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc.",4
236,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc.",4
237,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc.",4
238,"We actively encourage our students to play some sports and games on a regular basis since it keeps the mind fresh and the body healthy. We have very good facilities for many different sports including cricket, football, basketball, etc. We also have several student clubs for various activities like music, startups, etc.",4
239,"We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow.",2
240,"We are in the process of getting the approvals. Till then, the degree will be given by Sri Ramswaroop Memorial University, Lucknow.",2
241,"As of 2024, We have only one branch, which is Computer Science.",3
242,We have doctors available both on campus and in nearby hospitals.,12
243,We roughly have one girl student for every 4 boy students. But we hope to reach a 50:50 gender ratio over the next few years.,10
244,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost.",1
245,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost.",1
246,"We strongly believe that Sitare University is currently the best place to study Computer Science in India. Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost.",1
247,"There are total 7 clubs as follows: Coding club, AI club, Sports club, Founders Forum, Music club, Debate club and media cell.",4
248,"There are total 7 clubs as follows: Coding club, AI club, Sports club, Founders Forum, Music club, Debate club and media cell.",4
249,"There are total 7 clubs as follows: Coding club, AI club, Sports club, Founders Forum, Music club, Debate club and media cell.",4
